City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (°F)
585,sijunjung,-0.6876,100.9537,73.50800000000001,89,76,1.15,ID,1696263609,73.50800000000001
586,tadine,-21.55,167.8833,69.42200000000004,74,100,7.5,NC,1696263609,69.42200000000004
587,opuwo,-18.0607,13.84,97.25,8,1,5.97,,1696263317,97.25
588,harstad,68.799,16.5293,45.788000000000046,98,100,2.68,NO,1696263343,45.788000000000046
589,vadso,70.0744,29.7487,38.28200000000002,75,75,3.6,NO,1696262956,38.28200000000002
590,lethem,3.3803,-59.7968,102.07400000000001,20,61,1.65,GY,1696263169,102.07400000000001
591,kelmentsi,48.4656,26.83,60.54800000000002,46,2,2.91,UA,1696263611,60.54800000000002
592,meknes,33.9776,-5.525,95.88200000000002,31,0,5.66,MA,1696263612,95.88200000000002
593,mercedes,-34.6515,-59.4307,69.85400000000006,31,60,4.3,AR,1696263612,69.85400000000006
594,pointe-du-lac,46.2869,-72.6845,70.79000000000002,64,13,1.54,CA,1696263612,70.79000000000002
595,port blair,11.6667,92.75,78.83600000000007,94,75,1.03,IN,1696263613,78.83600000000007
596,karratha,-20.7377,116.8463,79.808,26,2,4.31,AU,1696263246,79.808
597,fairmont,39.4851,-80.1426,78.24199999999999,73,0,1.68,US,1696263614,78.24199999999999
598,culfa,38.9558,45.6308,66.07400000000001,67,96,1.9,AZ,1696263615,66.07400000000001
599,antofagasta,-23.65,-70.4,61.88000000000004,69,27,4.3,CL,1696263395,61.88000000000004
600,eyl,7.9803,49.8164,80.87000000000006,78,13,8.12,SO,1696263615,80.87000000000006
601,shimokizukuri,40.8061,140.3861,63.518000000000086,69,63,6.41,JP,1696263615,63.518000000000086
602,alice springs,-23.7,133.8833,87.35,16,53,5.66,AU,1696263195,87.35
603,butembo,0.15,29.2833,65.858,72,36,1.94,CD,1696263616,65.858
604,hisar,29.1667,75.7167,80.942,20,6,3.5,IN,1696263616,80.942
605,saint-louis,16.3333,-15.0,103.47800000000007,15,48,1.52,SN,1696263616,103.47800000000007
